# L=200, N=100,l=100,alpha=2.0 
# ================================================================
# n  P(n) P(n)^alpha  P(n)_alpha 
87 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
88 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
89 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
90 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
91 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
92 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
93 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
94 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
95 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
96 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
97 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
98 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
99 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
100 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
#1.00000000000000000  
#9.99999999999999944e-01  
